OptName;LfdNr;Name;Typ;Startzeit;Endzeit;Dauer;Fval_Opt;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Kondition_fval;Kondition_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;Materialspannung;num_succ;num_fail;comptime_sum;MaxTiltAngle
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh1;1;P6RRRRRR10V3G1P1A1;2;12.02.2020 21:32:57;12.02.2020 23:37:27;7470.261327;442.567064703356;71.9289951398247;11.3469053531303;473.601278075473;92.0324213125373;613.241668059554;143.836946255475;114.997896006926;38.5740692078672;99.0274988442414;0.000654570175087821;1527.72007961688;0.747913369746028;94;3006;7442.35265199998;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh1;2;P6RRRRRR10G1P1A1;2;12.02.2020 21:32:57;12.02.2020 23:05:19;5542.0916;535.830835243637;73.1972051351177;11.548726073495;546.769412353869;115.888922638455;567.272667955344;123.73035174427;104.903700432911;27.8213489507803;98.5798028511554;0.00044818718415668;2231.21060875854;0.694477580538572;21;3079;5509.17732400002;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh1;3;P6PRRRRR6V2G8P3A1;2;12.02.2020 21:32:57;12.02.2020 23:52:34;8377.601247;440.638169332715;52.844333962415;8.31988612164725;440.929652464447;82.973461227426;669.106157763361;174.748107023152;141.563143827227;92.030431995511;97.7639816011993;0.000284594242783328;3513.77452410848;0.450912177942046;649;2451;8345.32235999999;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh1;4;P6PRRRRR6G8P3A1;2;12.02.2020 21:32:57;12.02.2020 23:41:21;7704.069558;511.823850482838;68.2397358894762;10.7603157276626;510.34288906002;103.303271913445;569.06039471237;124.443553133741;122.485848180253;49.215167353994;98.5329714004002;0.000433875032185125;2304.81112260298;0.299145335068478;196;2904;7675.94348800002;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh2;1;P6RRRRRR10V3G1P1A1;2;13.02.2020 04:33:47;13.02.2020 06:34:37;7250.386272;423.521450026486;98.6235605636089;15.6168851782852;441.122203102512;83.0245428297042;640.8433821973;158.0371704815;123.300543198788;50.5404611197072;99.7409300657721;0.00245731431557663;406.948347495115;0.896457062997046;115;2985;7223.92293599999;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh2;2;P6RRRRRR10G1P1A1;2;13.02.2020 04:33:47;13.02.2020 05:58:29;5081.587683;501.347399243976;84.0419721518391;13.2785084429034;504.66351594852;101.475924935113;619.499909593675;146.897180933049;100.092920835809;23.8237099142753;98.9360614923289;0.000598305726428511;1671.38630941966;0.714240325967557;26;3074;5053.783052;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh2;3;P6PRRRRR6V2G8P3A1;2;13.02.2020 04:33:47;13.02.2020 06:19:46;6358.880215;452.611675611141;41.9931727993423;6.60585580909955;452.644055601437;86.1289190682485;353.540489427521;62.0476854344261;102.738562271272;25.9440469924451;97.5932924667121;0.000264392932514208;3782.24936079282;0.19070374741884;588;2512;6319.09424;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh2;4;P6PRRRRR6G8P3A1;2;13.02.2020 04:33:47;13.02.2020 06:14:47;6059.735797;510.236914040753;51.3164342754403;8.07827067621169;512.065777636942;103.864277736425;533.050864829368;110.962201549866;119.486059095796;44.6329843912322;96.3079796112022;0.00017223791503483;5805.92257980932;0.284697987859699;159;2941;6027.058079;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh3;1;P6RRRRRR10V3G1P1A1;2;13.02.2020 11:34:46;13.02.2020 13:22:03;6436.28062;448.112955445737;72.4035389948087;11.4224126625179;446.580387373344;84.4833234082817;407.49147671776;74.4677683000363;119.776491904657;45.0569525227248;98.7533223297473;0.000510587786627562;1958.52706662847;0.481047949912169;83;3017;6393.79079699999;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh3;2;P6RRRRRR10G1P1A1;2;13.02.2020 11:34:46;13.02.2020 13:24:14;6567.55321;533.053160340138;96.2811460741054;15.2401806125126;532.836990513623;110.887269599316;475.288083131563;92.5230040099482;91.0135864872165;17.7949844946411;99.5760661994118;0.0015016739909538;665.923500056653;0.505320110620154;37;3063;6531.80298599998;0.231782761432126
IFToMMDACH_Vgl_Winkel10_20200212_nachts_Wdh3;3;P6PRRRRR6V2G8P3A1;2;13.02.2020 11:34:46;13.02.2020 13:49:10;8063.843102;450.881636965809;42.8048624302151;6.73392294954003;450.662281772796;85.5881453824338;641.763047491884;158.54358904184;136.049657390496;76.7385411879118;97.499167311509;0.000254432163468466;3930.32070461461;0.481054671825657;509;2591;8029.77597100001;0.231782761432126
